time,high,low,open,close
1613038800,45496.42,45465.56,45486.35,45465.56
1613038860,45491.91,45459.94,45465.56,45485.8
1613038920,45486.01,45440.72,45485.8,45454.54
1613038980,45484.03,45452.72,45454.54,45452.72
1613039040,45588.48,45449.39,45452.72,45586.94
1613039100,45590.14,45411.41,45586.94,45411.41
1613039160,45471.61,45401.43,45411.41,45463.09
1613039220,45432.81,45395.44,45476.92,45418.22
1613039280,45435.63,45401.18,45405.55,45417.09
1613039340,45465.81,45410.5,45407.42,45449.42
1613039400,45469.65,45427.14,45449.42,45435.85
1613039460,45472.37,45415.89,45415.89,45464.54
1613039520,45466.57,45448.1,45464.54,45451.9
1613039520,45466.57,45448.1,45464.54,45451.9
1613039580,45453.67,45437.76,45451.9,45441.61
1613039640,45493.18,45441.61,45441.61,45476.81
1613039700,45529.53,45474.06,45476.81,45508.84
1613039760,45543.24,45488.95,45508.84,45490.06
1613039820,45497.19,45465.49,45512.03,45478.78
1613039880,45483.05,45447.39,45447.39,45456.26
1613039940,45495.27,45463.58,45476.87,45495.02
1613040000,45559.12,45474.83,45477.77,45559.12
1613040060,45557.85,45518.26,45581.14,45528.99
1613040120,45653.2,45519.06,45519.06,45644.66
1613040180,45892.98,45644.66,45644.66,45892.98
1613040240,45946.75,45861.31,45892.98,45942.67
1613040300,46053.33,45941.4,45942.67,46053.12
1613040360,46143.13,46053.12,46053.12,46122.91
1613040420,46126.03,46012.48,46122.91,46024.06
1613040480,46061.48,45998.15,46024.06,46002.98
1613040540,46060.96,45988.97,46002.98,46059.82
1613040600,46113.31,46056.09,46059.82,46085.15
1613040660,46097.27,46081.64,46085.15,46096.84
1613040720,46192.02,46096.84,46096.84,46187.22
1613040780,46310.19,46186.19,46187.22,46279.23
1613040840,46279.23,46160.42,46279.23,46182.45
1613040900,46182.57,46112.99,46182.45,46153.8
1613040960,46235.12,46144.8,46153.8,46235.12
1613041020,46341.66,46235.12,46235.12,46280.22
1613041080,46354.89,46273.39,46280.22,46348.54
1613041140,46381.43,46330.91,46348.54,46330.91
1613041200,46432.59,46316.12,46330.91,46377.58
1613041260,46427.32,46366.59,46377.58,46366.78
1613041320,46366.78,46194.75,46366.78,46213.42
1613041380,46221.53,46129.03,46213.42,46132.64
1613041440,46205.99,46089.23,46132.64,46188.41
1613041500,46192.87,46144.55,46188.41,46191.03
1613041560,46235.52,46191.03,46191.03,46224.44
1613041620,46304.89,46202.53,46224.44,46304.89
1613041680,46354.19,46258.12,46304.89,46267.6
1613041740,46300.96,46260.53,46267.6,46269.94
1613041800,46289.67,46254.5,46269.94,46257.8
1613041860,46270.91,46255.58,46257.8,46266.15
1613041920,46305.82,46257.29,46266.15,46276.0
1613041980,46328.84,46276.0,46276.0,46284.64
1613042040,46329.89,46265.99,46284.64,46271.63
1613042100,46292.17,46212.25,46271.63,46215.66
1613042160,46254.25,46205.99,46215.66,46249.43
1613042220,46287.17,46248.08,46249.43,46275.09
1613042280,46289.02,46268.52,46275.09,46289.02
1613042340,46320.3,46228.64,46316.32,46228.9
1613042400,46248.76,46215.5,46224.09,46248.76
1613042460,46268.9,46236.49,46248.76,46262.61
1613042520,46270.14,46219.11,46262.61,46219.27
1613042580,46251.94,46219.27,46219.27,46234.59
1613042640,46252.83,46221.93,46234.59,46245.19
1613042700,46332.0,46237.04,46245.19,46314.25
1613042760,46316.52,46254.8,46314.25,46255.64
1613042820,46279.94,46186.98,46255.64,46189.96
1613042880,46263.11,46180.7,46189.96,46241.21
1613042940,46302.24,46241.21,46241.21,46302.24
1613043000,46302.24,46212.53,46302.24,46215.51
1613043060,46234.94,46205.19,46215.51,46207.45
1613043120,46242.45,46205.87,46207.45,46229.61
1613043180,46298.65,46229.61,46229.61,46273.43
1613043240,46273.43,46246.47,46273.43,46257.53
1613043300,46258.21,46209.13,46257.53,46225.43
1613043360,46225.43,46175.36,46225.43,46175.36
1613043420,46241.0,46170.36,46175.36,46240.91
1613043480,46284.3,46240.91,46240.91,46265.24
1613043540,46315.09,46262.8,46265.24,46294.54
1613043600,46302.16,46261.9,46294.54,46270.96
1613043660,46291.71,46253.68,46270.96,46255.22
1613043720,46255.22,46223.35,46255.22,46225.26
1613043780,46254.47,46217.64,46225.26,46233.94
1613043840,46253.32,46211.7,46233.94,46232.47
1613043900,46300.4,46232.47,46232.47,46300.3
1613043960,46314.43,46280.41,46300.3,46299.45
1613044020,46299.45,46240.7,46299.45,46244.53
1613044080,46248.25,46238.34,46244.53,46245.56
1613044140,46283.22,46243.91,46245.56,46275.9
1613044200,46376.08,46275.27,46275.9,46375.63
1613044260,46518.18,46375.63,46375.63,46516.86
1613044320,46516.86,46309.96,46516.86,46309.96
1613044380,46309.96,46156.74,46309.96,46163.29
1613044440,46214.03,46098.05,46163.29,46103.66
1613044500,46158.1,46097.14,46103.66,46139.83
1613044560,46152.62,46110.19,46139.83,46152.56
1613044620,46152.56,46114.23,46152.56,46119.78
1613044680,46122.08,45960.06,46119.78,45976.33
1613044740,46075.61,45947.97,45976.33,46069.21
1613044800,46325.47,46069.21,46069.21,46323.84
1613044860,46350.11,46243.79,46323.84,46278.9
1613044920,46311.89,46263.62,46278.9,46308.66
1613044980,46492.41,46294.25,46308.66,46491.8
1613045040,46646.42,46491.7,46491.8,46579.24
1613045100,46579.24,46489.59,46579.24,46530.48
1613045160,46594.35,46467.9,46530.48,46472.14
1613045220,46496.72,46427.78,46472.14,46487.54
1613045280,46495.35,46433.48,46487.54,46469.04
1613045340,46478.79,46448.18,46469.04,46453.04
1613045400,46503.82,46446.69,46453.04,46458.99
1613045460,46476.07,46414.06,46458.99,46414.18
1613045520,46447.68,46406.07,46414.18,46447.68
1613045520,46447.68,46406.07,46414.18,46447.68
1613045580,46505.26,46313.35,46447.68,46313.44
1613045640,46430.24,46306.82,46313.44,46428.9
1613045700,46454.78,46396.52,46428.9,46396.64
1613045760,46396.64,46369.66,46396.64,46374.89
1613045820,46389.94,46369.98,46374.89,46382.96
1613045880,46390.49,46330.0,46382.96,46330.0
1613045940,46430.02,46308.38,46330.0,46422.06
1613046000,46435.64,46398.28,46422.06,46429.48
1613046060,46461.75,46343.3,46429.48,46385.36
1613046120,46396.34,46356.46,46385.36,46375.28
1613046180,46380.93,46354.43,46375.28,46355.7
1613046240,46385.64,46354.18,46355.7,46380.28
1613046300,46394.9,46361.68,46380.28,46387.97
1613046360,46390.78,46339.1,46387.97,46339.1
1613046420,46342.35,46311.96,46339.1,46323.65
1613046480,46392.42,46316.88,46323.65,46384.22
1613046540,46422.25,46373.28,46384.22,46377.01
1613046600,46408.3,46375.36,46377.01,46381.19
1613046660,46398.24,46374.78,46381.19,46374.78
1613046720,46374.78,46333.42,46374.78,46335.11
1613046780,46359.91,46334.68,46335.11,46359.77
1613046840,46417.86,46354.99,46359.77,46405.12
1613046900,46431.8,46388.8,46405.12,46430.61
1613046960,46482.23,46425.99,46430.61,46475.49
1613047020,46523.6,46467.84,46475.49,46522.86
1613047080,46530.08,46494.76,46522.86,46499.35
1613047140,46523.12,46485.59,46499.35,46523.12
1613047200,46527.58,46503.83,46523.12,46522.06
1613047260,46525.28,46499.98,46522.06,46499.98
1613047320,46513.78,46498.5,46499.98,46502.48
1613047380,46522.74,46500.15,46502.48,46517.64
1613047440,46517.64,46480.92,46517.64,46489.4
1613047500,46548.39,46483.13,46489.4,46548.23
1613047560,46587.89,46543.92,46548.23,46577.71
1613047620,46577.71,46463.7,46577.71,46467.76
1613047680,46467.76,46377.89,46467.76,46377.89
1613047740,46380.4,46327.35,46377.89,46331.45
1613047800,46421.84,46323.04,46331.45,46415.65
1613047860,46488.65,46415.23,46415.65,46486.12
1613047920,46487.7,46437.28,46486.12,46446.81
1613047980,46461.7,46435.32,46446.81,46436.54
1613048040,46463.53,46428.3,46436.54,46452.27
1613048100,46476.88,46424.64,46452.27,46476.88
1613048160,46545.94,46476.88,46476.88,46540.36
1613048220,46554.42,46529.81,46540.36,46554.42
1613048280,46554.47,46521.43,46554.42,46524.45
1613048340,46574.06,46524.45,46524.45,46556.96
1613048400,46612.78,46556.96,46556.96,46612.78
1613048460,46621.97,46587.82,46612.78,46603.89
1613048520,46639.56,46603.69,46603.89,46639.19
1613048580,46640.49,46611.46,46639.19,46620.99
1613048640,46643.04,46614.04,46620.99,46636.14
1613048700,46788.77,46634.29,46636.14,46761.37
1613048760,46782.76,46684.96,46761.37,46781.66
1613048820,46899.24,46779.02,46781.66,46897.56
1613048880,46919.09,46875.05,46897.56,46897.7
1613048940,46987.49,46897.7,46897.7,46960.17
1613049000,47061.72,46959.17,46960.17,47061.59
1613049060,47148.02,47061.59,47061.59,47110.39
1613049120,47207.89,47019.9,47110.39,47206.0
1613049180,47273.99,47205.75,47206.0,47273.99
1613049240,47388.54,47272.88,47273.99,47325.55
1613049300,47467.61,47317.49,47325.55,47459.71
1613049360,47472.94,47298.33,47459.71,47304.49
1613049420,47370.86,47249.71,47304.49,47367.52
1613049480,47710.66,47367.4,47367.52,47710.66
1613049540,47798.52,47618.14,47710.66,47710.65
1613049600,48023.0,47701.62,47710.65,48023.0
1613049660,48255.77,48021.27,48023.0,48085.87
1613049720,48221.98,47947.16,48085.87,48208.08
1613049780,48264.11,47996.76,48208.08,48008.12
1613049840,48222.11,47993.97,48008.12,48159.92
1613049900,48244.25,48010.48,48159.92,48017.99
1613049960,48170.7,47964.42,48017.99,48167.05
1613050020,48272.27,48090.56,48167.05,48199.81
1613050080,48200.35,48070.31,48199.81,48142.97
1613050140,48162.6,48055.4,48142.97,48072.93
1613050200,48277.4,48072.93,48072.93,48218.14
1613050260,48257.53,48173.15,48218.14,48255.93
1613050320,48268.14,48102.89,48255.93,48105.82
1613050380,48109.26,47654.79,48105.82,47853.12
1613050440,47872.0,47674.27,47853.12,47724.27
1613050500,47780.52,47495.87,47724.27,47499.38
1613050560,47734.61,47499.38,47499.38,47720.5
1613050620,47727.66,47649.27,47720.5,47705.86
1613050680,47770.02,47705.86,47705.86,47751.22
1613050740,47755.76,47658.03,47751.22,47686.86
1613050800,47711.71,47628.94,47686.86,47699.26
1613050860,47828.43,47699.26,47699.26,47825.12
1613050920,47850.97,47702.71,47825.12,47753.51
1613050980,47822.16,47749.99,47753.51,47797.56
1613051040,47857.44,47797.07,47797.56,47838.83
1613051100,47874.73,47817.39,47838.83,47872.91
1613051160,47872.91,47784.85,47872.91,47807.19
1613051220,47813.54,47758.0,47807.19,47785.65
1613051280,47800.07,47704.85,47785.65,47735.98
1613051340,47790.63,47712.82,47735.98,47718.55
1613051400,47718.55,47614.29,47718.55,47664.98
1613051460,47754.26,47664.98,47664.98,47728.23
1613051520,47728.23,47692.26,47728.23,47718.83
1613051520,47728.23,47692.26,47728.23,47718.83
1613051580,47759.64,47705.01,47718.83,47759.64
1613051640,47855.34,47740.45,47759.64,47849.4
1613051700,47856.01,47752.99,47849.4,47754.46
1613051760,47766.39,47675.62,47754.46,47723.29
